n,n commande,date creation,date expedition,dernier statut,date dernier statut,date livraison/echec,prenom,nom,Gender,telephone,adresse,commune,wilaya,designation,prix,type,Brandt,frais livraison,freeshipping,paiement,id importation,type colis,premiere tentative,date premiere tentative,deuxieme tentative,date deuxieme tentative,troisieme tentative,date troisieme tentative
148,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-26,2022-03-13,,Radcliffe,H,8602356272,centre ville,Tindouf,Tindouf,"Thomson Televiseur 43"" LED - 43T73FHD - Noir - Garantie 2 Ans",39900,tv,Thomson,1600,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Telephone injoignable),2022-03-12,Echec livraison (Telephone injoignable),2022-03-13
149,'1183,2022-03-05,2022-03-05,Livre,2022-03-10,2022-03-10,,,H,8188594101,,Ras El Oued,Bordj Bou Arreridj,"Samsung Televiseur Led 40"" Hd -Ua40N5000 - Noir - Garantie 2 Ans",47990,tv,Samsung,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
150,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-14,2022-03-14,,Noby,H,,,In Salah,Tamanrasset,"Telestar LED TV 40"" FHD DVB-T2/S2.DOLBY - Demo integre - Noir - Garantie 2 Ans",33700,tv,Telestar,1600,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-12,Echec livraison (Client absent (reporte)),2022-03-13
151,'1188,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-26,2022-03-13,,,H,2175020194,,In Salah,Tamanrasset,"Thomson Televiseur 32"" LED - 32T73HD - Noir - Garantie 2 Ans",25999,tv,Thomson,1600,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-12,Echec livraison (Client absent (reporte)),2022-03-13
152,'1189,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-14,2022-03-10,,Nicolas,H,9722693769,,Tissemsilt,Tissemsilt,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sa - Silver",57000,tv,Brandt,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Tentative echouee (Client absent (reporte)),2022-03-07,Echec livraison (Client absent (reporte)),2022-03-08
153,'1190,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Desiree,H,9337972062,,Corso,Boumerdes,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sn - Noir.",57000,tv,Brandt,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
154,cmndByphone,2022-03-05,2022-03-05,Livre,2022-03-06,2022-03-06,,Land,H,,,Mascara,Mascara,LG TV NanoCell 55 pouce SM8200 Series TV LED Smart NanoCell Ecran 4K HDR avec ThinQ AI,149900,tv,LG,750,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
155,cmndByphone,2022-03-05,2022-03-05,Livre,2022-03-06,2022-03-06,,,F,1962365506,,Oran,Oran,LG TV UHD 43 pouce LM6300 Series TV LED Smart Full HD HDR Avec ThinQ AI,56990,tv,LG,750,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
156,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-09,2022-03-09,,Clem,H,3814395333,,Touggourt,Ouargla,"Samsung Televiseur Led 49"" Hd -Ua49N5000 - Noir - Garantie 2 Ans",73990,tv,Samsung,1050,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
157,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-13,2022-03-13,,Stacy,H,3542337435,centre ville ,Tindouf,Tindouf,"Samsung Televiseur Led ""32"" Hd -Ua32N5000 - Noir - Garantie 2 Ans",32990,tv,Samsung,1600,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-12,Livre,2022-03-13
158,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-10,2022-03-07,,Fitzgerald,H,,garre routiere,Mascara,Mascara,"Geant ELECTRONICS Televiseur 40"" - LED Full HD - Noir - Garantie 2 Ans",39000,tv,Geant,750,oui,paye,0,ecommerce,Tentative echouee (Faux numero),2022-03-06,Echec livraison (Annule par le client),2022-03-07,,
159,cmnd/Z,2022-03-05,2022-03-08,Retourne au vendeur,2022-03-21,2022-03-13,,Cozmo,H,7427336671,centre ville,Batna,Batna,Sanyo Radio Reveil-Quartz Sanyo - RPM C10 - Noir,2300,audio,Sanyo,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-10,Tentative echouee (Telephone injoignable),2022-03-12,Echec livraison (Telephone injoignable),2022-03-13
160,cmnd/Z,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-09,,Othilie,H,4134434350,,Alger Centre,Alger,LG PK3 XBOOM Go - ENCEINTE BLUETOOTH - 16W - IPX7 - Technologie Meridian - Noir,11200,audio,LG,750,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
161,cmnd/Z,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-14,2022-03-10,,Darell,H,7925924428,,Afir,Boumerdes,mac tech Haut Parleur Multimedia Subwoofer 2.1 - Mt-Sb1800Suf - Noir,4790,audio,mac,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Tentative echouee (Telephone injoignable),2022-03-09,Echec livraison (Client ne repond pas),2022-03-10
162,'1199,2022-03-05,2022-03-06,Livre,2022-03-13,2022-03-13,,Marcus,H,8607019514,,Adrar,Adrar,mac tech Haut Parleur Multimedia Subwoofer 2.1 - Mt-Sb2150Suf - Noir,5490,audio,mac,1400,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-12,Livre,2022-03-13
163,#1246,2022-03-05,2022-03-08,Livre,2022-03-17,2022-03-17,,Glynda,H,9251706834,,Illizi,Illizi,Home Theatre - HSP2.1-TKA891 - Noir,11900,audio,Home,1800,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-13,Tentative echouee (Client absent (reporte)),2022-03-14,Echec livraison (Client absent (reporte)),2022-03-15
164,cmnd/Z,2022-03-05,2022-03-08,Retourne au vendeur,2022-03-15,2022-03-10,,Kaye,H,4705164243,la casbah,Constantine,Constantine,mac tech Haut Parleur Multimedia Subwoofer 2.1 - Mt-Sb2100Suf - Noir,4790,audio,mac,900,oui,paye,0,ecommerce,Echec livraison (Commande double),2022-03-10,,,,
165,'1200,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-12,2022-03-08,,Addy,H,6067419972,el harreche,Bourouba,Alger,mac tech Haut Parleur Multimedia Subwoofer 2.1 - Mt-Sb1975Suf - Noir,4990,audio,mac,750,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Echec livraison (Annule par le client),2022-03-08,,
166,cmnd/Z,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-15,2022-03-10,,Roley,H,3637473236,centre ville,Constantine,Constantine,Ezcap Convertisseur et Lecteur Cassette Vers MP3 Noir & Gris,7900,audio,Ezcap,900,oui,paye,0,ecommerce,Tentative echouee (Commune erronee),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client ne repond pas),2022-03-10
167,'1232,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-09,,Flemming,H,9523129028,,Chlef,Chlef,mac tech Haut Parleur Multimedia Subwoofer 2.1 - Mt-Sb2125Suf - Noir,5490,audio,mac,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
168,'1229,2022-03-05,2022-03-06,Livre,2022-03-12,2022-03-12,,Chanda,H,8624708470,,Tamanrasset,Tamanrasset,"Telestar LED TV 50"" UHD 4K,DVB-T2/S2 DOLBY SMART ANDROID - Demo integre + Support Mural",62200,tv,Haut,1600,oui,paye,0,ecommerce,Livre,2022-03-12,,,,
169,cmnd/Z,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-14,2022-03-09,,Vicky,H,9677702892,,Tamalous,Skikda,"Telestar Led Tv 55"" Uhd 4K,Dvb-T2/S2Dolby Smart Android Sounbar - Demo Integre - Framless Soundbar Metal",83500,tv,Radio,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Annule par le client),2022-03-09,,
170,1227,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-08,,Vanya,H,7128935899,,El Milia,Jijel,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sa - Silver",57950,tv,Haut-Parleur,900,oui,paye,0,ecommerce,Echec livraison (Client absent (echoue)),2022-03-08,,,,
171,cmnd/Z,2022-03-05,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-08,,Klaus,H,4667402738,,Sidi Mezghiche,Skikda,"Brandt Televiseur Led 43"" Full Hd - Baf43F9Tk - Noir.",45700,tv,Haur,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-08,,,,
172,cmnd/Z,2022-03-05,2022-03-06,Livre,2022-03-09,2022-03-09,,Nollie,H,5025996783,centre ville,Djelfa,Djelfa,"Telestar LED TV 40"" FHD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",33300,tv,Philips,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-08,Livre,2022-03-09,,
173,#1308,2022-03-06,2022-03-06,Livre,2022-03-09,2022-03-09,,Caressa,H,5692131099,centre ville,Constantine,Constantine,"Brandt Televiseur LED 32"" HD - BAF32H9T - Noir.",26800,tv,Haur,900,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
174,#1292,2022-03-06,2022-03-06,Livre,2022-03-13,2022-03-13,,Alice,H,9602379913,centre ville,Illizi,Illizi,"Telestar LED TV 55"" UHD 4K DVB-T2 DOLBY Smart Android + Support Mural - Noir",75900,tv,Radio,1800,oui,paye,0,ecommerce,Livre,2022-03-13,,,,
175,#1289,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-09,,Dani,F,2782199443,centre ville,Ouled Fayet,Alger,"Samsung Televiseur LED 49"" Smart Full HD - UA49N5300 - Noir - Garantie 2 Ans",79490,tv,Home,750,oui,paye,0,ecommerce,Tentative echouee (Client no-show),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
176,#1288,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-15,2022-03-10,,Gerrard,F,,centre ville,Tebessa,Tebessa,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sn - Noir.",57950,tv,Home,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client absent (reporte)),2022-03-10
177,#1283,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,Cleo,F,1754986818,centre ville,El Eulma,Setif,"Samsung Televiseur Led 43"" Smart Full Hd - Ua49N5300 - Noir - Garantie 2 Ans",56490,tv,Radio,900,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
178,#1281,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,Jean,F,1695349236,centre ville,Bordj Menaiel,Boumerdes,"Pack Smart Tv 50"" Led Ultra Slim - FHDLED50DZ03S Full HD Avec TNT - Noir - Garantie 2 Ans + Home Theatre Maxipower HSP5.1-MV8212L",65900,tv,Campus,900,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
179,#1279,2022-03-06,2022-03-06,Livre,2022-03-12,2022-03-12,,Niven,H,4874799507,centre ville,Bechar,Bechar,Logitech Haut Parleur 5.1 avec Caisson de Basses Lgitech - Z506 - Noir,27700,audio,Logitech,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-09,Tentative echouee (Client ne repond pas),2022-03-10,Livre,2022-03-12
180,#1277,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,Hart,H,1486971389,centre ville,Ben Azzouz,Skikda,Logitech Haut-parleurs Z506 150W - Noir,32000,audio,Logitech,900,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
181,#1272,2022-03-06,2022-03-06,Livre,2022-03-07,2022-03-07,wejdi,Fabio,H,9783254252,centre ville,Mostaganem,Mostaganem,Ventouse 360 Degres Tete De Rotation Trepied,2500,audio,Ventouse,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
182,#1267,2022-03-06,2022-03-06,Livre,2022-03-07,2022-03-07,,Alida,H,5139682751,centre ville,Bab Ezzouar,Alger,Logitech Haut Parleur 5.1 Avec Caisson De Basses Lgitech - Z506 - Noir - Garantie 1 An,27500,audio,Logitech,750,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
183,#1162,2022-03-06,2022-03-06,Livre,2022-03-09,2022-03-09,,,H,3575897530,centre ville,Boumerdes,Boumerdes,Campus Enceintes Mini Portable Poppy Bluetooth - Sp-Fy24- Grise,2900,audio,Campus,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Livre,2022-03-09,,
184,#1305,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,mechri,Arlinda,H,4479760422,centre ville,Ain Kerma,El Tarf,Makita Enceinte Bluetooth A Batterie 18V H.Parleur DMR200_Bleu,24350,audio,Makita,900,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
185,#1303,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-16,2022-03-12,,Ximenes,H,1733144487,centre ville,Bechar,Bechar,Auto KIT TOURNE-VIS,1500,audio,Auto,1800,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-09,Tentative echouee (Client ne repond pas),2022-03-10,Echec livraison (Client ne repond pas),2022-03-12
186,#1223,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-21,2022-03-10,,Nadeen,H,2359379312,centre ville,Hassi Messaoud,Ouargla,Auto Porte Telephone Kd-042,800,audio,Auto,750,oui,paye,0,ecommerce,Echec livraison (Commande double),2022-03-10,,,,
187,#1231,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,,H,2306265740,centre ville,Ain M'lila,Oum El Bouaghi,Makita Radio De Chantier Bluetooth 18 V Dmr108_Bleu,34850,audio,Makita,1050,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
188,#1265,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-12,2022-03-08,,Bengt,F,6801873383,amroussa aadl,Bouinan,Blida,Enigma Haut Parleur Umbrella - Enigma - Bleu,900,audio,Enigma,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-08,,,,
189,#1310,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-13,2022-03-09,zekraoui,,H,5177846161,centre ville,Draria,Alger,Enigma Haut Parleur Umbrella - Enigma - Blanc,650,audio,Enigma,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Telephone injoignable),2022-03-08,Echec livraison (Client no-show),2022-03-09
190,1151,2022-03-06,2022-03-08,Retourne au vendeur,2022-03-14,2022-03-09,,Bekki,H,5851295679,centre ville,Bir El Djir,Oran,Enigma Haut Parleur Umbrella - Enigma - Rose,650,audio,Enigma,1050,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-09,,,,
191,1166,2022-03-06,2022-03-08,Retourne au vendeur,2022-03-15,2022-03-10,,Augustina,F,7937046291,les bananiers ,Mohammadia,Alger,Enigma Haut Parleur Umbrella - Enigma - Jaune,650,audio,Enigma,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client incapable de payer),2022-03-10,,
192,1174	,2022-03-06,2022-03-08,Retourne au vendeur,2022-03-15,2022-03-10,,Evonne,H,7966850781,maafer ,Salah Bey,Setif,Sandisk Flash Disk Double Lecteur m3.0 32GB USB / Android - Gris/Noir,1630,stockage,Sandisk,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-10,,,,
193,1162,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-15,2022-03-10,,,H,3061013884,centre ville,Skikda,Skikda,Sandisk Cle USB 32 GB Ultra Duel Drive OTG Flash Disque M 3.0 - Noir/Gris,1590,stockage,Sandisk,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-08,Tentative echouee (Telephone injoignable),2022-03-09,Echec livraison (Telephone injoignable),2022-03-10
194,1192,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-14,2022-03-09,,,F,2267137971,"Oran, bel gaid ",Bir El Djir,Oran,Lexar Flash Disk JumpDrive 32GB - Noir,990,stockage,Lexar,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
195,1211,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,Claus,H,6157482646,centre ville,Ouled Djellal,Biskra,Sandisk Flash Disk Double Lecteur M3.0 16Gb Usb / Android - Gris/Noir,1240,stockage,Sandisk,1050,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
196,1095,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-15,2022-03-10,,Mahala,H,5367859868,centre ville,Guelma,Guelma,Toshiba Flash Disk -Cle Usb -Flash Disque -U202 32Gb - Blanc,1250,stockage,Toshiba,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client ne repond pas),2022-03-10
197,1083,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,,H,1539815286,dilmi foudil numero 132,Didouche Mourad,Constantine,Sandisk -32Gb- Cruzer Blade Flash Drive - Noir/Rouge,1000,stockage,Sandisk,1050,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
198,1070,2022-03-06,2022-03-06,Retourne au vendeur,2022-03-15,2022-03-09,,,H,8608831200,Bejaia. Akbou,Akbou,Bejaia,Rack USB 2.0 pour Disque Dur - 2.5'' et SSD - Gris -,950,stockage,Rack,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client absent (echoue)),2022-03-09,,
199,1066,2022-03-06,2022-03-06,Livre,2022-03-08,2022-03-08,,Raymond,H,4366003856,,Setif,Setif,Sandisk Flash Disque Ultra Dual Drive -Type - C - 32 Go OTG - Noir,2320,stockage,Sandisk,1800,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
200,1022,2022-03-06,2022-03-08,Livre,2022-03-13,2022-03-13,,Olympie,H,4479917974,hammedi boumerdes,Hammedi,Boumerdes,Disque Dur Expansion 1To USB 3.0 - Noir,9650,stockage,Disque,750,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-10,Tentative echouee (Client ne repond pas),2022-03-12,Livre,2022-03-13
201,cmnd/Z,2022-03-06,2022-03-10,Livre,2022-03-12,2022-03-12,Mohamed,,H,,,Sidi Ali,Mostaganem,"Disque Dur Externe 2.5"" - 2 Tb Usb 3.0 - Noir",14200,stockage,Disque,1050,oui,paye,0,ecommerce,Livre,2022-03-12,,,,
202,cmnd/Z,2022-03-06,2022-03-08,Retourne au vendeur,2022-03-21,2022-03-14,Walid ,Reeta,H,,,Ain Bessem,Bouira,Adata Flash Disk 32Gb USB 2.0 - C906 - noir/blanc,1220,stockage,Adata,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-13,Echec livraison (Telephone injoignable),2022-03-14
203,#1339,2022-03-07,2022-03-07,Livre,2022-03-09,2022-03-09,,Janot,H,8351552969,centre ville,Mesra,Mostaganem,Rack Caddy pour Disque Dure - SATA 2.5'' 12.7mm - Gris,1300,stockage,Rack,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Livre,2022-03-09,,
204,#1334,2022-03-07,2022-03-10,Retourne au vendeur,2022-03-30,2022-03-20,,,H,1652606350,centre ville,Adrar,Adrar,Home Theatre - MS2114 - Noir,6900,audio,Home,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-14,Tentative echouee (Client absent (reporte)),2022-03-15,Echec livraison (Client absent (reporte)),2022-03-16
205,#1329,2022-03-07,2022-03-07,Retourne au vendeur,2022-03-13,2022-03-10,,Tessy,F,3714901108,centre ville,Hussein Dey,Alger,Radio KEMAI MD-1901BT Bluetooth,5200,audio,Radio,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Tentative echouee (Telephone injoignable),2022-03-09,Echec livraison (Client no-show),2022-03-10
206,#1328,2022-03-07,2022-03-08,Livre,2022-03-10,2022-03-10,,Di,F,2943842925,,Hammedi,Boumerdes,Campus Enceinte Led Clubber Bluetooth - SP-FY33 - Grise,3500,audio,Campus,900,oui,paye,0,ecommerce,Livre,2022-03-10,,,,
207,#1325,2022-03-07,2022-03-10,Retourne au vendeur,2022-03-21,2022-03-13,,,F,9704362634,centre ville,Ain Taya,Alger,Logitech Haut Parleur 5.1 avec Caisson de Basses Lgitech - Z506 - Noir,27700,audio,Logitech,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-12,Echec livraison (Wilaya erronee),2022-03-13,,
208,#1323,2022-03-07,2022-03-08,Retourne au vendeur,2022-03-21,2022-03-13,,Isabeau,F,5386649763,centre ville,Bir el Ater,Tebessa,Logitech Haut-parleurs Z506 150W - Noir,32000,audio,Logitech,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-10,Tentative echouee (Client absent (reporte)),2022-03-12,Echec livraison (Client ne repond pas),2022-03-13
209,#1322,2022-03-07,2022-03-07,Livre,2022-03-12,2022-03-12,,Korie,F,4997186547,centre ville,Tamanrasset,Tamanrasset,Ventouse 360 Degres Tete De Rotation Trepied,2500,audio,Ventouse,1600,oui,paye,0,ecommerce,Livre,2022-03-12,,,,
210,#1320,2022-03-07,2022-03-07,Livre,2022-03-09,2022-03-09,,Cece,F,1919218023,centre ville,Sidi Mezghiche,Skikda,Logitech Haut Parleur 5.1 Avec Caisson De Basses Lgitech - Z506 - Noir - Garantie 1 An,27500,audio,Logitech,900,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
211,#1319,2022-03-07,2022-03-10,Retourne au vendeur,2022-03-21,2022-03-15,,Darn,F,7473545761,centre ville,Bejaia,Bejaia,Campus Enceintes Mini Portable Poppy Bluetooth - Sp-Fy24- Grise,2900,audio,Campus,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-13,Tentative echouee (Client ne repond pas),2022-03-14,Echec livraison (Telephone injoignable),2022-03-15
212,#1312,2022-03-07,2022-03-07,Livre,2022-03-09,2022-03-09,,,H,1403412627,centre ville,Setif,Setif,Makita Enceinte Bluetooth A Batterie 18V H.Parleur DMR200_Bleu,24350,audio,Makita,900,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
213,#1311,2022-03-07,2022-03-07,Livre,2022-03-08,2022-03-08,,Stacia,H,,dergana,Bordj El Kiffan,Alger,Auto KIT TOURNE-VIS,1500,audio,Auto,750,oui,paye,0,ecommerce,Livre,2022-03-08,,,,
214,#1294,2022-03-07,2022-03-07,Livre,2022-03-10,2022-03-10,,Padraig,H,1321491702,centre ville,In Salah,Tamanrasset,Auto Porte Telephone Kd-042,800,audio,Auto,1600,oui,paye,0,ecommerce,Livre,2022-03-10,,,,
215,#1264,2022-03-07,2022-03-07,Retourne au vendeur,2022-03-12,2022-03-08,,Berty,H,8762570991,"Ouled Benayed \""B'Hira\""",Souahlia,Tlemcen,Makita Radio De Chantier Bluetooth 18 V Dmr108_Bleu,34850,audio,Makita,750,oui,paye,0,ecommerce,Echec livraison (Commande double),2022-03-08,,,,
216,1249,2022-03-07,2022-03-08,Retourne au vendeur,2022-03-14,2022-03-12,,Aldus,H,2435004476,centre ville,Relizane,Relizane,Adata Disque Dur Externe Portable - Slim 2Tb - Noir,13800,stockage,Adata,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-09,Tentative echouee (Client absent (reporte)),2022-03-10,Echec livraison (Client no-show),2022-03-12
217,#1314,2022-03-07,2022-03-07,Retourne au vendeur,2022-03-15,2022-03-10,,,F,5199232249,centre ville,Setif,Setif,Rack Caddy pour Disque Dure - SATA 2.5'' 9.5 mm - Gris,1300,stockage,Rack,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-09,Echec livraison (Annule par le client),2022-03-10,,
218,#1180,2022-03-07,2022-03-10,Retourne au vendeur,2022-03-21,2022-03-13,,,H,3166216993,centre ville,Zeribet El Oued,Biskra,Sandisk Ultra Dual Drive -Type - C - 32 Go OTG - Noir,2320,stockage,Sandisk,1050,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-13,,,,
219,CMDTEL,2022-03-07,2022-03-10,Livre,2022-03-12,2022-03-12,,Keane,H,8117770264,centre ville,Zeralda,Alger,Adata Flash Disque - C906 - 4Gb - Noir,620,stockage,Adata,900,oui,paye,0,ecommerce,Livre,2022-03-12,,,,
220,1150,2022-03-07,2022-03-08,Livre,2022-03-10,2022-03-10,,,H,6387418540,centre ville,Bir El Arch,Setif,50 dvd vierge,1850,stockage,50,750,oui,paye,0,ecommerce,Livre,2022-03-10,,,,
221,1173,2022-03-07,2022-03-07,Retourne au vendeur,2022-03-15,2022-03-10,,,H,4821691837,Alger - borj lbahri,Bordj El Bahri,Alger,Sandisk Flash Disque 32GB Fit Ultra USB 3.1-130Mbps,1900,stockage,Sandisk,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Tentative echouee (Client ne repond pas),2022-03-09,Echec livraison (Client absent (echoue)),2022-03-10
222,1176,2022-03-07,2022-03-08,Retourne au vendeur,2022-03-14,2022-03-12,,Ainsley,H,7337751907,centre ville,Kolea,Tipaza,"Lexar Disque SSD 128 Go 2.5"" SATA III - 6 Gb/s - NS100 - Noir",5990,stockage,Lexar,750,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-09,Tentative echouee (Faux numero),2022-03-10,Echec livraison (Commune erronee),2022-03-12
223,1207,2022-03-07,2022-03-08,Retourne au vendeur,2022-03-15,2022-03-12,,Tish,H,5283262956,centre ville,Boufatis,Oran,Thermaltake TESTEUR POUR ALIMENTATION THERMALTAKE A-2358 Noir,2000,stockage,Thermaltake,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-09,Tentative echouee (Client absent (reporte)),2022-03-10,Echec livraison (Client ne repond pas),2022-03-12
224,1234,2022-03-07,2022-03-07,Livre,2022-03-09,2022-03-09,,Ban,H,6387435975,Tiaret ville,Tiaret,Tiaret,"Disque Dur 2Tb Externe 2.5"" - Seagate 2 Tb Usb 3.0 - Noir",13800,stockage,Disque,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Livre,2022-03-09,,
